question_id,answer_id,question_text,question_score,pmid,pmtitle
21216,21219,Why do I only breathe out of one nostril?,286,7876041,EEG changes during forced alternate nostril breathing.
56476,56498,Why are so few foods blue?,190,11598230,Why leaves turn red in autumn. The role of anthocyanins in senescing leaves of red-osier dogwood.
30116,30126,"Does DNA have the equivalent of IF-statements, WHILE loops, or function calls? How about GOTO?",153,15922833,Transcriptional interference--a crash course.
937,939,How many times did terrestrial life emerge from the ocean?,149,15535883,"A genomic timescale of prokaryote evolution: insights into the origin of methanogenesis, phototrophy, and the colonization of land."
937,939,How many times did terrestrial life emerge from the ocean?,149,20204349,The influence of different land uses on the structure of archaeal communities in Amazonian anthrosols based on 16S rRNA and amoA genes.
937,939,How many times did terrestrial life emerge from the ocean?,149,10097391,"Divergence time estimates for the early history of animal phyla and the origin of plants, animals and fungi."
937,939,How many times did terrestrial life emerge from the ocean?,149,14731304,The colonization of land by animals: molecular phylogeny and divergence times among arthropods.
937,939,How many times did terrestrial life emerge from the ocean?,149,11498589,Molecular evidence for the early colonization of land by fungi and plants.
937,939,How many times did terrestrial life emerge from the ocean?,149,11117742,Geochemical evidence for terrestrial ecosystems 2.6 billion years ago.
21111,21114,Do bacteria die of old age?,134,15685293,Aging and death in an organism that reproduces by morphologically symmetric division.
510,516,Is there a reason why human eyesight and plants make use of the same wavelength of light?,120,17520016,Ionizing radiation changes the electronic properties of melanin and enhances the growth of melanized fungi.
450,462,Why do plants have green leaves and not red?,105,23826347,"The functional significance of black-pigmented leaves: photosynthesis, photoprotection and productivity in Ophiopogon planiscapus 'Nigrescens'."
450,56739,Why do plants have green leaves and not red?,105,10811219,The origin of red algae and the evolution of chloroplasts.
68327,68329,Are male and female brains physically different from birth?,105,17074984,Prenatal testosterone and gender-related behaviour.
68327,68333,Are male and female brains physically different from birth?,105,10708922,"Sexual dimorphism in the human brain: evaluation of tissue volume, tissue composition and surface anatomy using magnetic resonance imaging."
68327,68333,Are male and female brains physically different from birth?,105,15123343,"Aging, sexual dimorphism, and hemispheric asymmetry of the cerebral cortex: replicability of regional differences in volume."
68327,68333,Are male and female brains physically different from birth?,105,16945978,Sex differences in cortical thickness mapped in 176 healthy individuals between 7 and 87 years of age.
