question_id,answer_id,question_text,question_score,pmid,pmtitle
456,460,Is food prepared in a microwave oven less healthy?,43,10554220,Effects of Microwave Heating on the Loss of Vitamin B(12) in Foods.
456,460,Is food prepared in a microwave oven less healthy?,43,17979232,Effects of microwave cooking conditions on bioactive compounds present in broccoli inflorescences.
456,460,Is food prepared in a microwave oven less healthy?,43,12166997,"Analysis of acrylamide, a carcinogen formed in heated foodstuffs."
456,460,Is food prepared in a microwave oven less healthy?,43,9806599,"Chronic, low-level (1.0 W/kg) exposure of mice prone to mammary cancer to 2450 MHz microwaves."
456,460,Is food prepared in a microwave oven less healthy?,43,9453703,Chronic exposure of cancer-prone mice to low-level 2450 MHz radiofrequency radiation.
456,477,Is food prepared in a microwave oven less healthy?,43,1557249,Effects of microwave radiation on anti-infective factors in human milk.
529,681,How many eggs can one eat per day?,43,16340654,Dietary cholesterol provided by eggs and plasma lipoproteins in healthy populations.
529,681,How many eggs can one eat per day?,43,21776466,Effects of eggs on plasma lipoproteins in healthy populations.
13,427,Are there any health benefits to male circumcision?,40,21590467,Male circumcision and HIV infection risk.
13,427,Are there any health benefits to male circumcision?,40,19370585,Male circumcision for prevention of heterosexual acquisition of HIV in men.
13,427,Are there any health benefits to male circumcision?,40,18840841,Circumcision status and risk of HIV and sexually transmitted infections among men who have sex with men: a meta-analysis.
13,427,Are there any health benefits to male circumcision?,40,21678366,Male circumcision for prevention of homosexual acquisition of HIV in men.
13,427,Are there any health benefits to male circumcision?,40,20844437,Male circumcision: Africa and beyond?
13,427,Are there any health benefits to male circumcision?,40,20224784,Economic evaluations of adult male circumcision for prevention of heterosexual acquisition of HIV in men in sub-Saharan Africa: a systematic review.
343,573,Are organic foods healthier than conventional foods?,40,11327522,"Nutritional quality of organic versus conventional fruits, vegetables, and grains."
343,573,Are organic foods healthier than conventional foods?,40,19640946,Nutritional quality of organic foods: a systematic review.
343,573,Are organic foods healthier than conventional foods?,40,22944875,Are organic foods safer or healthier than conventional alternatives?: a systematic review.
343,591,Are organic foods healthier than conventional foods?,40,11833635,"A comparison of the nutritional value, sensory qualities, and food safety of organically and conventionally produced foods."
343,591,Are organic foods healthier than conventional foods?,40,17297755,[A comparison of chemical composition and nutritional value of organically and conventionally grown plant derived foods].
343,591,Are organic foods healthier than conventional foods?,40,24968103,Higher antioxidant and lower cadmium concentrations and lower incidence of pesticide residues in organically grown crops: a systematic literature review and meta-analyses.
178,180,Is eating spicy hot (pungent) food (hot chilli &amp; peppers etc.) healthy or harmful?,39,9824407,The long-term effects of capsaicin aqueous spray on the nasal mucosa.
178,403,Is eating spicy hot (pungent) food (hot chilli &amp; peppers etc.) healthy or harmful?,39,21093467,The effects of hedonically acceptable red pepper doses on thermogenesis and appetite.
178,403,Is eating spicy hot (pungent) food (hot chilli &amp; peppers etc.) healthy or harmful?,39,1543869,The effect of chilli on gastrointestinal transit.
357,361,Do vaccines cause autism?,37,21772639,
1276,1278,"What is excess blood from blood donations used for, and do we ever run out?",35,17465938,
1276,1278,"What is excess blood from blood donations used for, and do we ever run out?",35,26019707,Point of care and factor concentrate-based coagulation algorithms.
355,447,What effects does alcohol have on underage children?,33,12638993,Prevalence and correlates of alcohol-induced blackouts among college students: results of an e-mail survey.
355,447,What effects does alcohol have on underage children?,33,11584156,"Health problems in adolescents with alcohol use disorders: self-report, liver injury, and physical examination findings and correlates."
355,447,What effects does alcohol have on underage children?,33,10839867,Prevalence of abnormal serum aminotransferase values in overweight and obese adolescents.
355,447,What effects does alcohol have on underage children?,33,11910704,Alcohol and female puberty: the role of intraovarian systems.
20970,20980,Does COVID-19 have a case fatality rate of 41%? Is this formula correct?,32,31986257,
20970,20980,Does COVID-19 have a case fatality rate of 41%? Is this formula correct?,32,31986264,
20970,20980,Does COVID-19 have a case fatality rate of 41%? Is this formula correct?,32,32007143,
51,60,Is there evidence that eating too much sugar can increase the risk of diabetes?,31,23620057,Consumption of sweet beverages and type 2 diabetes incidence in European adults: results from EPIC-InterAct.
120,307,Why do doctors prescribe steroid tablets even though they know the side effects?,27,20412543,A review of quantitative risk-benefit methodologies for assessing drug safety and efficacy-report of the ISPOR risk-benefit management working group.
120,307,Why do doctors prescribe steroid tablets even though they know the side effects?,27,23947590,A practical guide to the monitoring and management of the complications of systemic corticosteroid therapy.
5044,7673,Is it better to sleep without a pillow?,27,24248001,The effect of positional changes on intraocular pressure during sleep in patients with and without glaucoma.
5044,7673,Is it better to sleep without a pillow?,27,26512267,The Effect of Different Pillow Heights on the Parameters of Cervicothoracic Spine Segments.
5044,7673,Is it better to sleep without a pillow?,27,32081656,
13713,13714,What are known health effects of smoking e-cigarettes,27,25745382,"Electronic cigarettes: patterns of use, health effects, use in smoking cessation and regulatory issues."
13713,13724,What are known health effects of smoking e-cigarettes,27,19184655,Effects of nicotine in experimental animals and humans: an update on addictive properties.
13713,13724,What are known health effects of smoking e-cigarettes,27,24806664,It is time to regulate carcinogenic tobacco-specific nitrosamines in cigarette tobacco.
13713,13724,What are known health effects of smoking e-cigarettes,27,23594194,Critical role of aldehydes in cigarette smoke-induced acute airway inflammation.
410,413,Do zinc lozenges really help the common cold?,26,6367635,Reduction in duration of common colds by zinc gluconate lozenges in a double-blind study.
410,413,Do zinc lozenges really help the common cold?,26,18279051,"Duration and severity of symptoms and levels of plasma interleukin-1 receptor antagonist, soluble tumor necrosis factor receptor, and adhesion molecules in patients with common cold treated with zinc acetate."
410,413,Do zinc lozenges really help the common cold?,26,15496046,Efficacy of zinc against common cold viruses: an overview.
410,413,Do zinc lozenges really help the common cold?,26,11073753,Effect of treatment with zinc gluconate or zinc acetate on experimental and natural colds.
410,724,Do zinc lozenges really help the common cold?,26,23775705,Zinc for the common cold.
6,478,What should I consider when deciding to remove a blister or not?,25,16858106,
6,478,What should I consider when deciding to remove a blister or not?,25,8570998,"Friction blisters. Pathophysiology, prevention and treatment."
500,503,Does hot water kill germs better than cold water?,25,23814480,The Environmental Cost of Misinformation: Why the Recommendation to Use Elevated Temperatures for Handwashing is Problematic.
452,5048,Effect of the common cold on the immune system,24,22321179,[Three years surveillance of viral etiology of acute lower respiratory tract infection in children from 2007 to 2010].
452,5048,Effect of the common cold on the immune system,24,26557722,Respiratory Syncytial Virus Nonstructural Proteins Upregulate SOCS1 and SOCS3 in the Different Manner from Endogenous IFN Signaling.
452,5048,Effect of the common cold on the immune system,24,25249281,Refining the balance of attenuation and immunogenicity of respiratory syncytial virus by targeted codon deoptimization of virulence genes.
452,5048,Effect of the common cold on the immune system,24,23991128,Viral etiology and clinical profiles of children with severe acute respiratory infections in China.
452,5048,Effect of the common cold on the immune system,24,23806456,Interaction between allergy and innate immunity: model for eosinophil regulation of epithelial cell interferon expression.
452,5048,Effect of the common cold on the immune system,24,24767874,Comparison of rhinovirus antibody titers in children with asthma exacerbations and species-specific rhinovirus infection.
452,5048,Effect of the common cold on the immune system,24,26122508,Human Rhinovirus-induced Proinflammatory Cytokine and Interferon-β Responses in Nasal Epithelial Cells From Chronic Rhinosinusitis Patients.
452,5048,Effect of the common cold on the immune system,24,10543583,The effectiveness of vitamin C in preventing and relieving the symptoms of virus-induced respiratory infections.
452,5048,Effect of the common cold on the immune system,24,25010554,Vitamin C supplementation slightly improves physical activity levels and reduces cold incidence in men with marginal vitamin C status: a randomized controlled trial.
452,5048,Effect of the common cold on the immune system,24,23440782,Vitamin C for preventing and treating the common cold.
